doy,tmin,tmax,rain,par,rh,lat,lon
146,6.177118,19.366663,0.000000,1190.573859,0.654312,-32.750000,148.750000
147,2.403772,19.640955,0.000000,1027.489484,0.793918,-32.750000,148.750000
148,-1.644537,17.652124,0.000000,1190.410175,0.742166,-32.750000,148.750000
149,-1.176062,15.385095,0.000000,1187.299194,0.789367,-32.750000,148.750000
150,0.005762,15.951196,0.000000,1188.927753,0.756545,-32.750000,148.750000
151,-3.998969,17.018030,0.000000,1167.173212,0.775104,-32.750000,148.750000
152,-6.232275,17.327814,0.000000,1214.186340,0.746322,-32.750000,148.750000
153,2.272089,14.287012,1.020359,765.150156,0.795810,-32.750000,148.750000
154,-1.596533,14.475824,0.005992,1206.926123,0.791649,-32.750000,148.750000
155,-2.607611,16.200220,0.011845,1215.963422,0.744855,-32.750000,148.750000
156,2.755457,15.440027,0.004552,1220.854712,0.710076,-32.750000,148.750000
157,5.288690,13.529443,1.110538,595.309109,0.917575,-32.750000,148.750000
158,3.983209,17.490259,0.255176,1120.965237,0.826761,-32.750000,148.750000
159,5.452875,17.933282,0.080102,1008.207681,0.769248,-32.750000,148.750000
160,8.769006,18.136346,0.391316,928.570953,0.775217,-32.750000,148.750000
161,4.918817,14.458246,17.726343,110.201580,0.978121,-32.750000,148.750000
162,-5.768591,10.932855,0.491016,619.975711,0.774844,-32.750000,148.750000
163,-4.254523,12.262750,0.000000,1211.884656,0.781586,-32.750000,148.750000
164,-6.566992,17.062219,0.000000,1180.293628,0.774652,-32.750000,148.750000
165,-5.226752,16.412531,0.000000,1195.790411,0.711508,-32.750000,148.750000
166,-1.787299,14.806757,0.000000,1189.652399,0.628380,-32.750000,148.750000
167,-0.656775,14.028284,0.000000,1154.927087,0.762441,-32.750000,148.750000
168,1.868738,14.666925,0.000000,1176.403323,0.734244,-32.750000,148.750000
169,3.933527,16.471094,0.017295,1032.167606,0.795728,-32.750000,148.750000
170,5.360895,16.597925,0.148579,852.176041,0.800704,-32.750000,148.750000
171,7.507074,14.597070,3.594425,643.768793,0.862155,-32.750000,148.750000
172,7.535638,14.843652,1.096039,518.970139,0.917661,-32.750000,148.750000
173,7.475916,16.665460,0.118878,1058.861658,0.796170,-32.750000,148.750000
174,4.085168,12.701685,6.744925,633.128555,0.964570,-32.750000,148.750000
